G2V	RVS_T05750G45P00V000K2SNWNVRVSF	
8439.6643      8780.2676
7495	2.55336E-09
7500	2.56421E-09
7505	2.55986E-09
7510	2.53125E-09
7515	2.55545E-09
7520	2.56992E-09
7525	2.54924E-09
7530	2.54107E-09
7535	2.5619E-09
7540	2.57937E-09
7545	2.57143E-09
7550	2.55949E-09
7555	2.54903E-09
7560	2.54503E-09
7565	2.54637E-09
7570	2.53863E-09
7575	2.5384E-09
7580	2.53442E-09
7585	2.52981E-09
7590	2.5448E-09
7595	2.55887E-09
7600	2.55745E-09
7605	2.54035E-09
7610	2.51837E-09
7615	2.50541E-09
7620	2.51062E-09
7625	2.52098E-09
7630	2.52244E-09
7635	2.52657E-09
7640	2.52555E-09
7645	2.51955E-09
7650	2.51243E-09
7655	2.49774E-09
7660	2.47996E-09
7665	2.47607E-09
7670	2.49086E-09
7675	2.50277E-09
7680	2.49903E-09
7685	2.49153E-09
7690	2.48748E-09
7695	2.47886E-09
7700	2.48172E-09
7705	2.48811E-09
7710	2.48405E-09
7715	2.47283E-09
7720	2.4713E-09
7725	2.46502E-09
7730	2.46253E-09
7735	2.47815E-09
7740	2.46965E-09
7745	2.42776E-09
7750	2.4131E-09
7755	2.44823E-09
7760	2.46595E-09
7765	2.47067E-09
7770	2.45377E-09
7775	2.42843E-09
7780	2.41804E-09
7785	2.42878E-09
7790	2.43594E-09
7795	2.4327E-09
7800	2.42347E-09
7805	2.42293E-09
7810	2.42126E-09
7815	2.43862E-09
7820	2.44464E-09
7825	2.44181E-09
7830	2.40999E-09
7835	2.38811E-09
7840	2.40863E-09
7845	2.41674E-09
7850	2.41169E-09
7855	2.41501E-09
7860	2.42061E-09
7865	2.41591E-09
7870	2.40828E-09
7875	2.40324E-09
7880	2.39214E-09
7885	2.41288E-09
7890	2.40795E-09
7895	2.38295E-09
7900	2.37349E-09
7905	2.38266E-09
7910	2.38266E-09
7915	2.36879E-09
7920	2.34999E-09
7925	2.3457E-09
7930	2.33256E-09
7935	2.31447E-09
7940	2.31135E-09
7945	2.29803E-09
7950	2.32053E-09
7955	2.34368E-09
7960	2.34619E-09
7965	2.35493E-09
7970	2.36154E-09
7975	2.36273E-09
7980	2.36094E-09
7985	2.36188E-09
7990	2.35554E-09
7995	2.32223E-09
8000	2.29564E-09
8005	2.31423E-09
8010	2.32544E-09
8015	2.33406E-09
8020	2.33129E-09
8025	2.30116E-09
8030	2.28789E-09
8035	2.3068E-09
8040	2.3131E-09
8045	2.28065E-09
8050	2.2712E-09
8055	2.30043E-09
8060	2.32234E-09
8065	2.31072E-09
8070	2.29647E-09
8075	2.29455E-09
8080	2.29829E-09
8085	2.28321E-09
8090	2.27503E-09
8095	2.25604E-09
8100	2.25589E-09
8105	2.27752E-09
